,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
45,['1645490315334230036'],1645490315334230036,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
46,['1645490106785046537'],1645490106785046537,won’t be back to burgerking plant burgers and gay shit is where i draw the line,,
47,['1645484631779581952'],1645484631779581952,maxvon22 thorshammergems bitecoinbk burgerking lets go $bite 🚀,,
48,['1645484606614044674'],1645484606614044674,burgerking poor quality food being served at the manesar outlet . extremely overfried patties. ,,
49,['1645484349117145112'],1645484349117145112,"thorshammergems check this⭐️💯

eth pumping 
chevk out $bite bitecoinbk 
community driven token 
lp burnt and ca renounced 💯 safe 

seems burgerking must have a bag in it 
because he gave a free promo to them
dont fade 🚀🍔
have a $bite today ",,
50,['1645484286579990531'],1645484286579990531,"da bekommt man richtig bock auf nen leckeren burger von burgerking 🤗

lebensmittelsicherheit ist so wichtig 🫣

",,
51,['1645483938146668546'],1645483938146668546,padraic92996190 burgerking hell yeah dogecoin is taking over the world 💯 ,,
52,['1645482540432490496'],1645482540432490496,burgerking i am,,
53,['1645482224983363584'],1645482224983363584,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
54,['1645481644680257543'],1645481644680257543,iamreviewbrah burgerking youtube youtubecreators ily king i'll never eat that burger,,
55,['1645480761141624867'],1645480761141624867,burgerking just had a a meal from one of your restaurants(afc fylde ground) it was cold and had no taste that’s the first and last time i step into a burger king,,
56,['1645480394613981197'],1645480394613981197,iamreviewbrah burgerking youtube youtubecreators the bacon melt was delicious 🫣,,
57,['1645480042544103465'],1645480042544103465,iamreviewbrah burgerking youtube youtubecreators aw cmon man i liked it,,
58,['1645479824087973907'],1645479824087973907,every time i see this rebrand of burgerking i think about how authentic and fresh it is. one of my favorites! ,,
59,['1645478682712997909'],1645478682712997909,ayo_mide28 lilmoonlambo bitecoinbk burgerking let's all get a $bite,,
60,['1645477101687160834'],1645477101687160834,iamreviewbrah burgerking youtube youtubecreators thanks you too. 🎶 baby don’t hurt me. no more. 🎶,,
61,['1645476681094959104'],1645476681094959104,iamreviewbrah burgerking youtube youtubecreators you don't want to see review brah when he's angry,,
62,['1645476607677562897'],1645476607677562897,"burgerking i just got charged for something i didn't receive, didn't notice till we got home...what a joke",,
63,['1645476540241809408'],1645476540241809408,"iamreviewbrah burgerking youtube youtubecreators thanks for the vid, gonna watch now.",,
64,['1645476341968687105'],1645476341968687105,ayo_mide28 lilmoonlambo bitecoinbk burgerking if we get bk to reply this could be big!,,
65,['1645475938379890724'],1645475938379890724,"lilmoonlambo eth pumping 
chevk out $bite bitecoinbk 
community driven token 
lp burnt and ca renounced 💯 safe 

seems burgerking must have a bag in it 
because he gave a free promo to them
dont fade 🚀🍔
have a $bite today ",,
66,['1645475315467026471'],1645475315467026471,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
67,['1645473761380925445'],1645473761380925445,"mediaite that's it. no more free whoppers for christie. 
burgerking",,
68,['1645472962240475137'],1645472962240475137,"we think they're delicious 🍟



burgerking",,
69,['1645472724813217827'],1645472724813217827,"rt burgerking_esa: el verdadero, 2 es mejor que uno, lo encontrás en la promo de 2 kings de pollo por $4.99.🐥

burgerking atumanera ala…",,
70,['1645472437729886234'],1645472437729886234,"the second time i've ordered spicy fries from burgerking and they give me normal. if i wanted normal i would've ordered that!!!! then i go in and after finally getting someone's attention i get told they don't have any, what the fuck?!
badcustomerservice burgerking ",,
71,['1645472073043542036'],1645472073043542036,burgerking yes my son sings it everyday ,,
72,['1645471707371536405'],1645471707371536405,"burger king uk's crypto-community reacts to its tweet
visit : 
nft tokens crypto bitcoin trading  chain burgerking reaction ",,
73,['1645471523468083215'],1645471523468083215,konakpier burgerking iftarımızıda yaptık 🤲 izmir ,,
74,['1645471340588040193'],1645471340588040193,burgerking why do you need access to my home network? please explain like i’m 5 ,,
75,['1645470712952414210'],1645470712952414210,bitecoinbsc burgerking burgerkinguk hello!! i like your project! send me dm i have a proposal for you !! 🚀🔥,,
76,['1645470699220238358'],1645470699220238358,burgerking hello!! i like your project! send me dm i have a proposal for you !! 🚀🔥,,
77,['1645470637912096781'],1645470637912096781,"hey burgerking, your burgers are flame-grilled perfection! but we've been wondering, where's the burger queen? we're ready for some royal treatment too 👸🍔 burgerking burgerqueen fastfoodlove",,
78,['1645468957078323209'],1645468957078323209,"ernsterjuenger .
burgerking?
.",,
79,['1645467207671873557'],1645467207671873557,"🖼 принятие криптоплатежей продолжается, теперь - в burgerking. в парижских ресторанах...
 ",,
80,['1645465891050487814'],1645465891050487814,cryptic_maestro put it to a good cause bitecoinbsc burgerking ,,
81,['1645465008803831808'],1645465008803831808,bitcoin binance bitcoin2023 btc btcusdt burger $burger burgercities burgerusdt burgerking burgercoin mexc gamefi metaversenft ,,
82,['1645464738464145409'],1645464738464145409,"gregpelky mrhumanitygives burgerking congratulations 🎉🍾🎊 on your winning, you have been lucky selected as our winner, kindly send your eth wallet address here to immediately claim your reward 👇👇",,
83,['1645464388453711877'],1645464388453711877,mrhumanitygives burgerking  today would be awesome!  🍔 $greg12118,,
84,['1645464292429266956'],1645464292429266956,thebestbiginves saylor burger burgercities burgerusdt burgers bitcoin binance burgerking ,,
85,['1645463681969577984'],1645463681969577984,rt mrtrendingviral: doge jumps after burgerking  gives 'hint' to launch bitecoin! ,,
86,['1645462521523097603'],1645462521523097603,kongbinieat kongbinifoodblog burgerking ,,
87,['1645461163499573249'],1645461163499573249,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
88,['1645460728818671617'],1645460728818671617,burgerking now just how terrible whoppers are these days. poor quality food. what happened?,,
89,['1645460329164333056'],1645460329164333056,"bro burgerking is savage. their drive through employee just recited “welcome to burger king where you rule, how may we serve you.”. i’d be quitting immediately before i got paid to say that to some drunken prick at 1am for minimum wage. lol wow.",,
90,['1645458114488176642'],1645458114488176642,"we think they're delicious 🍟



burgerking",,
91,['1645457787181232135'],1645457787181232135,"twitter why are trying so hard to please me, are your ok? this not like you, come on suspended me please? handsomeace_66 can used the names? garymayorprince we just got arbys billboard burgerking cocacola pepsi dominos dunkindonuts doritos oreo 🥰 ",,
92,['1645457523431075840'],1645457523431075840,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
93,['1645453024561709058'],1645453024561709058,burgerking pokemon go is bad,,
94,['1645452469768445953'],1645452469768445953,lanasoceannblvd when does she not burgerking,,
95,['1645451943517782018'],1645451943517782018,"burgerking hello, yesterday i went to bk outlet at bharuch, gujarat 19:30 hrs. but to my surprise in evening 19:30 hrs most of the burgers, taco even fries are out of stock !!! 
pls look into it..",,
96,['1645449711711551489'],1645449711711551489,burgerking dm sent,,
97,['1645447537380192260'],1645447537380192260,guys!  new video released about burgerking !,,
98,['1645447297059241984'],1645447297059241984,"mcdonalds my orders from online always arrive incorrect,🍟 always stale and cold, don't know if it's the location in my neighborhood but i'm out. i'd rather order from wendys or burgerking and not from a clown. also you use the pesticide monitor on your potatoes?
",,
99,['1645445777613811714'],1645445777613811714,"wegloriousco elonmusk bitecoinbsc burgerking bitecoin bsc made decentralization and charity possible to let our hungry brothers taste the juicy as your tasty flame-grilled beef burger on saturday evening! 🍔 bite $bite bitecoin bsc

 ",,
0,['1645445726577610753'],1645445726577610753,"wegloriousco elonmusk bitecoinbsc burgerking bitecoin bsc made decentralization and charity possible to let our hungry brothers taste the juicy as your tasty flame-grilled beef burger on saturday evening! 🍔 bite $bite bitecoin bsc

 ",,
1,['1645444369049067522'],1645444369049067522,"wegloriousco elonmusk bitecoinbsc burgerking bitecoin bsc made decentralization and charity possible to let our hungry brothers taste the juicy as your tasty flame-grilled beef burger on saturday evening! 🍔 bite $bite bitecoin bsc

 ",,
2,['1645442481373294593'],1645442481373294593,elonmusk impersonator can't win if you are consistently giving back like bitecoinbsc burgerking ,,
3,['1645442366390562816'],1645442366390562816,"mcdonalds ist in den trends.
wie gut das ich zu burgerking gehe!!!! 😍😉👍",,
4,['1645439256351895552'],1645439256351895552,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
5,['1645438968836792322'],1645438968836792322,"bueno, aqui les muestro mi coleccion ya completa de sonicthehedgehog que salio en burgerking en este año🦔🍔

no me esperaba que esta cadena de comida rapida, me diera una coleccion, asi de llamativa, y más en perú, esta es la 1ra vez que colecciono algo de la cadena jeje.. ",,
6,['1645438086371762178'],1645438086371762178,"who won?  - you decide!

i'm ngl, when taking these photos at c2e2, all i could think about was the erbofhistory between mcdonalds &amp; burgerking from a few years ago! 🔥

(spoiler alert: wendys won) 

bk: avaleeigh 
mcd: count_liz 

c2e2 c2e22023 cosplay foodforthought ",,
7,['1645437907564474368'],1645437907564474368,"gofooji nashville, tn is ready!
ubereats nike nikestore adidas adidasoriginals oreo kraftsingles kroger publix doordash cashapp pringles hbomaxpop netflix burgerking mcdonalds dominos wendys walmart kohls macys amazon aldiusa starbucks starburst skittles tjmaxx",,
8,['1645436471522783235'],1645436471522783235,would u smash this countrygravy burger countryfood burgerpharaoh burgerking  burgers food chicken ,,
