,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
40,['1645531781116952578'],1645531781116952578,rayjpolitics1 nike nike  “just  stop  it” 🛑 ✋,,
41,['1645531686078226433'],1645531686078226433,"gbnews replying to
gbnews
""promote their own subjugation""...and to what...that?...no wayyyyyyy budlight nike and all you other stupid, brain dead,  corporations...",,
42,['1645531676288880642'],1645531676288880642,zjsloey nike time to blacklist im_lesserafim yunjin and kazuha. their fans have been slandering peaceminusone x nike collab and threatening violence,,
43,['1645531668210384900'],1645531668210384900,nike returning item dicks and ur taking forever to process. this is not a convenient return option! 👎🏼,,
44,['1645531614779412481'],1645531614779412481,"anheuserbusch nike jackdaniels_us if you wish to support the chinese-influenced destruction of the west, you should move to china.

we won't miss you at all.",,
45,['1645531508336365568'],1645531508336365568,"thefabbooklover tampax olayskin nike skin care is for more than just women.  how stupid can you be - oh, wait...",,
46,['1645531383639707649'],1645531383639707649,donnabestlondon soniagallegoaje nike you sure are spending a lot of time on twitter talking about it not to care.....or perhaps this *is* about bullying a young trans woman after all.,,
47,['1645531370481934337'],1645531370481934337,hwamangonana nike time to blacklist im_lesserafim yunjin and kazuha. their fans have been slandering peaceminusone x nike collab and threatening violence,,
48,['1645531341885411341'],1645531341885411341,rt tishawaddell: ummm clears throat so y'all can hear this loud and clear dylan mulvaney was not 🚫 i repeat not the first trans woman to h…,,
49,['1645531312592392197'],1645531312592392197,"beepbeeptorey 12banhammer34 bbaaddddoogg nike how am i spreading hate?
because i'm sick and tired of these men playing women face &amp; wanting to normalize it so badly that they can do their prevented fetishes in front of children ? i'm over it...how many bad menstrual cycles have you had she/her?!",,
50,['1645531302316130304'],1645531302316130304,leadvirgo nike time to blacklist im_lesserafim yunjin and kazuha. their fans have been slandering peaceminusone x nike collab and threatening violence,,
51,['1645531275330195461'],1645531275330195461,"rt thedropdate: visionary artist g-dragon delivers his signature style once again, this time in black and white.

nike x peaceminusone g-d…",,
52,['1645531241687515137'],1645531241687515137,rt sarcitwat: nike hates women dylanmulvaneyisaman ,,
53,['1645531218547707907'],1645531218547707907,rayjpolitics1 nike why do we have to keep seeing this gross guy everywhere? enough! do you really think i’ll buy nike now?😡,,
54,['1645531144681820163'],1645531144681820163,new store alert🚨✔️ nike justdoit ,,
