,edit_history_tweet_ids,id,text
47,['1664975860133408768'],1664975860133408768,"rt cs_angge: kung ganito lang naman ka gwapo yung mag alok sakin wala ng sasabihin pa bili agad ng coke 

darrens bestcokeever
darren es…"
48,['1664972900330352640'],1664972900330352640,"rt lilybeth140: parang all the way down!

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph

 …"
49,['1664972382610808832'],1664972382610808832,"rt thedarrenatics2: we love his smile, his voice, his grooves, his warmth. his charm, 
his attitude… and now…
his best coke ever! 

darren…"
50,['1664971977596243969'],1664971977596243969,"rt lilybeth140: congratulations, darren! so blessed! 

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph"
51,['1664971782565265413'],1664971782565265413,"rt thedarrenatics2: we love his smile, his voice, his grooves, his warmth. his charm, 
his attitude… and now…
his best coke ever! 

darren…"
52,['1664971631079587840'],1664971631079587840,"rt vitamind_ni_kat: swerte ni ate mong girl, kapag ako ung tinitigan ni darren ng ganyan..naku tlga

darrens bestcokeever
darren espanto…"
53,['1664971419246120963'],1664971419246120963,"rt jelaravillamor: kung ako yung girl ewan ko nalang hahahaha

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph"
54,['1664971053310042112'],1664971053310042112,"rt aarlene81: nakakita pa ako noon nito"" vintage coca cola mini glass bottle""

darrens bestcokeever
darren espanto2001 
cokezero tikma…"
55,['1664970792948629504'],1664970792948629504,"rt djulbarri: darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph"
56,['1664970197969645568'],1664970197969645568,"rt lilybeth140: pwede ng sponsor sa concert ni d! 

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph

 https://t.…"
57,['1664966565094391808'],1664966565094391808,"rt serweiss_: baka may kasunod pa tong 15 secs ad ni d. may pa find out pa sila eh. lol. 

darrens bestcokeever
darren espanto2001
coke…"
58,['1664962431158722563'],1664962431158722563,"rt rey_espanto: more blessings to come, d! congratsssss! nakaka-happy super! ♡

darrens bestcokeever
darren espanto2001
cokezero tikma…"
59,['1664962378428035075'],1664962378428035075,"rt jelaravillamor: dear cocacolaph pwede bang yung edorser nalang akin? ahhahaha

darrens bestcokeever
darren espanto2001
cokezero ti…"
60,['1664962349160345600'],1664962349160345600,"rt serweiss_: baka may kasunod pa tong 15 secs ad ni d. may pa find out pa sila eh. lol. 

darrens bestcokeever
darren espanto2001
coke…"
61,['1664960941128310784'],1664960941128310784,"rt ionelovegood: okay na din po kahit posters nito sa mga suking tindahan or groceries. 

darrens bestcokeever
darren espanto2001
cokez…"
62,['1664960912955174912'],1664960912955174912,"rt darrenatics_uae: d best endorser ever! ;) 
espanto2001 

darrens bestcokeever
darren 
cokezero tikmanna
cocacolaph …"
63,['1664960848052330505'],1664960848052330505,"rt thedarrenatics2: we love his smile, his voice, his grooves, his warmth. his charm, 
his attitude… and now…
his best coke ever! 

darren…"
64,['1664960593353388032'],1664960593353388032,"rt lilybeth140: pwede ng sponsor sa concert ni d! 

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph

 https://t.…"
65,['1664959499659247616'],1664959499659247616,"rt ionelovegood: tv airing-worthy ang fifteen-second ad mo d

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph ht…"
66,['1664948999596683264'],1664948999596683264,"rt thedarrenatics2: we love his smile, his voice, his grooves, his warmth. his charm, 
his attitude… and now…
his best coke ever! 

darren…"
67,['1664947051963076609'],1664947051963076609,"rt melovesdarren: palibhasa kasi alam na alam mo kung paano ako kunin eh. isang ngiti, isang tingin wala... umiikot na ulit ang mundo ko.…"
