,edit_history_tweet_ids,id,text
48,['1666228184898224128'],1666228184898224128,dietcoke 
49,['1666225366438928385'],1666225366438928385,jockosports amfamchamp dietcoke get a napkin the slobber is coming all over me
50,['1666223680894951426'],1666223680894951426,jockosports amfamchamp dietcoke skip that and head over to the tito’s tent.
51,['1666217057698955265'],1666217057698955265,war ukraine coca-cola still supports russian terrorists  via dietcoke
52,['1666216024708923399'],1666216024708923399,"300 big brands ditch russia for ukraine; mcdonald's, coca-cola, pepsico,...  via dietcoke"
53,['1666215900557594630'],1666215900557594630,jockosports amfamchamp dietcoke what’s life without dc? i too am addicted.
54,['1666214715716935680'],1666214715716935680,i didn’t think it was possible to love the amfamchamp any more than i already did. but i do. dietcoke 
55,['1666214418277908482'],1666214418277908482,"elon musk reveals next twitter update, says higher priced twitter subscr...  via dietcoke"
56,['1666207502575231007'],1666207502575231007,bing vs bard vs chatgpt: a battle of conversational ai titans  via dietcoke
57,['1666205804561588238'],1666205804561588238,microsoft vs google: who will win the ai chatbot race? | tech it out  via dietcoke
58,['1666195361084366864'],1666195361084366864,"gpt 4 got upgraded - code interpreter (ft. image editing, mp4s, 3d plots...  via dietcoke"
59,['1666192517778268183'],1666192517778268183,microsoft's visual chatgpt shocks entire ai industry! (game changing)  via dietcoke
60,['1666189519840763909'],1666189519840763909,open ai ceo stuns everyone with statements on gpt 5(gpt-5 update)  via dietcoke
61,['1666186118360973313'],1666186118360973313,bard vs chatgpt-4: 8 ways google ai outperforms openai (surprised!)  via dietcoke
62,['1666185286210994177'],1666185286210994177,microsoft vs google rivalry - shocking ai developments  via dietcoke vs sicklecellsite
63,['1666182675818840064'],1666182675818840064,microsoft vs google rivalry - shocking ai developments  via dietcoke
64,['1666180642537721856'],1666180642537721856,fistfightawolf dietcoke would 🤝
65,['1666180295731687424'],1666180295731687424,potatogobbler dietcoke what a shot! pair these with it. 
66,['1666179838959312897'],1666179838959312897,7 ways google bard ai is better than open ai's chat gpt  via dietcoke
67,['1666178660339007498'],1666178660339007498,hacking chatgpt for keylogger malware in c++  via dietcoke
68,['1666178581079154689'],1666178581079154689,quinncoherent dietcoke thank you 🤝
69,['1666178444365897730'],1666178444365897730,potatogobbler dietcoke absolutely stunning
70,['1666177276382420993'],1666177276382420993,stooliememes dietcoke refreshing 🤝
71,['1666177179846057988'],1666177179846057988,potatogobbler dietcoke this looks like it should be in an ad!
72,['1666174764623306752'],1666174764623306752,potatogobbler dietcoke 🤝big building guy
73,['1666173767708704768'],1666173767708704768,jakemajka15 dietcoke legend! nice buildings as well 🤝
74,['1666173523776110595'],1666173523776110595,potatogobbler dietcoke coke zero better
75,['1666172873348722689'],1666172873348722689,the chatgpt revolution | cbs reports  via dietcoke
76,['1666172813961568257'],1666172813961568257,potatogobbler dietcoke i thought this was america
77,['1666172256639172608'],1666172256639172608,how to upload images to chatgpt and get answers  via dietcoke
78,['1666172254827208706'],1666172254827208706,karenmotherof2 dietcoke sadly it’s frowned upon at my work :/
79,['1666172176377020419'],1666172176377020419,grantmcgalliard dietcoke the best ice 🤝
80,['1666171863246962688'],1666171863246962688,potatogobbler dietcoke ice game insane
81,['1666171553996832768'],1666171553996832768,how to upload images to chatgpt and get answers!$  via dietcoke
82,['1666171260626165760'],1666171260626165760,how to upload images to chatgpt and get answers!  via dietcoke
83,['1666159192355241999'],1666159192355241999,how this ai chat robot became a racist! | tay ai chatbot  via dietcoke
84,['1666157881115148288'],1666157881115148288,is twitter secretly run by ai? massive layoffs: is ai taking over? elon ...  via dietcoke
85,['1666155167631147033'],1666155167631147033,revolutionize incident solving with unskript's open-source ai notebooks ...  via dietcoke
86,['1666152114286886932'],1666152114286886932,americancousin1 dietcoke agree!!!
87,['1666150323713449984'],1666150323713449984,elon musk vs. twitter: inside the 6-month battle | wsj timeline  via dietcoke
88,['1666134369080160269'],1666134369080160269,billionaire bachelor pad - tech bros ai voice meme  via dietcoke
89,['1666133303840190485'],1666133303840190485,bill gates and socrates talking about ai - ai generated talk  via dietcoke
90,['1666132520348557312'],1666132520348557312,"rt therealltm: ""2 minute warning"" out now!

recorded by jonsullivan_ 👨‍🔬🧪🙏🏿

🎨: derez 🔥🔥

youtube link: 

latray…"
91,['1666129481445126170'],1666129481445126170,"if every american just let the aspartame take the wheel, we'd be on mars by now
3yearletterman elonmusk 
dietcoke"
92,['1666128180397191186'],1666128180397191186,meta is challenging twitter at what they do best  via dietcoke
93,['1666125588954861568'],1666125588954861568,elon musk's new insane partnership with trump changes everything  via dietcoke
94,['1666112905023037443'],1666112905023037443,how does starlink satellite internet work?📡☄🖥  via apple dietcoke nasa
95,['1666110477695320064'],1666110477695320064,spacex to curb ukraine military's access to starlink satellite service |...  via dietcoke
96,['1666109664424247297'],1666109664424247297,"maga pridemonth check-list:
banning  target,walmart,nascar,starbucks,chickfila,mcdonalds,kroger,pepsi,dietcoke,shakeshack,gm,apple,microsoft ='s homophobic"
97,['1666109417325223936'],1666109417325223936,"rt bigmamasbins: for more details or to order today, copy/paste or click the link below
👇👇


art beautiful insta…"
98,['1666103122995867648'],1666103122995867648,dietcoke calling that number from a uk mobile would likely cost more than a year's supply of diet coke 😂
99,['1666103039940521989'],1666103039940521989,"for more details or to order today, copy/paste or click the link below
👇👇


art beautiful instagood love fashion photooftheday ad sponsored happy dietcoke amazondeals bigmamasbins blackart unfinishedbusiness"
0,['1666102450091163649'],1666102450091163649,and so continues my drive up the interstate then... dietcoke 
1,['1666101793837948928'],1666101793837948928,"up to 69% off | great gift for dads &amp; grads. for more details or to order today, copy/paste or click the link below
👇👇
  
photooftheday fashion love instagood beautiful sponsored ad art happy dietcoke amazondeals bigmamasbins blackart"
2,['1666101103551758340'],1666101103551758340,how the youtube algorithm actually works  via dietcoke
