,edit_history_tweet_ids,id,text
46,['1623392345805799431'],1623392345805799431,"rt glasubwaytravel: don't retrieve anything from the tracks. if you drop it, don't risk it. ask staff for help.

subway glasgowsubway a…"
47,['1623391609030168577'],1623391609030168577,why tf is a subway protein bowl and large drink $17.07????
48,['1623390906756788226'],1623390906756788226,"⁦subway⁩: that’s great! my 22 yr old grandson decided 2 process his own deer meat this yr. he ended up w/so much more meat than we get from the processors. w/some processors, 4 the weight of our deer, we d/n get back the amount of pkging we s/h "
49,['1623386722158379009'],1623386722158379009,curvigrl8 subway text instant_helpp he’s reliable and trustworthy
50,['1623385922653032449'],1623385922653032449,"rt dlwnsghek: 제가 자주 먹는 꿀조합은 무엇일까요?
댓글로 공유해보기

subwaykorea 
better_choice 써브웨이 subway "
51,['1623385343230615568'],1623385343230615568,jfplagge subway lame
52,['1623385012690382849'],1623385012690382849,"rt dlwnsghek: 제가 자주 먹는 꿀조합은 무엇일까요?
댓글로 공유해보기

subwaykorea 
better_choice 써브웨이 subway "
53,['1623384982013022212'],1623384982013022212,beardedhawkeye subway nope just opened
54,['1623384287285223424'],1623384287285223424,jfplagge subway good lord - i hope that’s a photo of the salad after you’ve eaten 2/3 of it…
55,['1623384285729411072'],1623384285729411072,"good morning asia!!
my first sub in 9 months; absolute delic.🏃‍♂️🏃‍♀️
subway subwaylove bekindalways  xx "
56,['1623383871415787525'],1623383871415787525,"saving the subway, again: dedicated taxes have to increase to fund transit dedicated fund increase saving subway taxes transit
"
57,['1623383869897551872'],1623383869897551872,"saving the subway, again: dedicated taxes have to increase to fund transit dedicated fund increase saving subway taxes transit
"
58,['1623383563046653952'],1623383563046653952,shaunmecca subway jerseymikes subway loves to scam their customers. jersey mike's treats us right
59,['1623382933619736579'],1623382933619736579,always looked forward to my $5.99 sammichs from subway come to find out 90% of stores in my area no longer take coupons. to jerseymikes i go
60,['1623381768760860675'],1623381768760860675,⁦subway⁩ does this look like a $9 salad? eatfresh 
61,['1623380413556072462'],1623380413556072462,sholtz2332 pennstationsubs subway jimmyjohns jerseymikes what number was on his jersey?
62,['1623379931563434007'],1623379931563434007,curvigrl8 subway i got my account back with the help of kevin_cybertool..try to give him a text now on instagram..he will help you out immediately.
63,['1623379741234323457'],1623379741234323457,"subway i just left your subway and i need you to check your employee. she was so rude and talked about my father in another language, we understood it. she also was throwing my meat on my sandwich."
64,['1623379684544094219'],1623379684544094219,subway don’t hide my tweets. you’re as cowardly as your sandwiches are bad.
