,edit_history_tweet_ids,id,text,lang
17,['1652067017669722113'],1652067017669722113,"nike giannis_an34 nikebasketball always forward, even if it means sliding under a player about to land",en
18,['1652066980105539584'],1652066980105539584,inarohs alexqtorres xyzxyzxyz09 nike giannis_an34 nikebasketball no way you said this,en
19,['1652066977261789184'],1652066977261789184,hosway213 nike thanks 🙏🏽,en
21,['1652066969556746242'],1652066969556746242,mdotbrown nike giannis_an34 nikebasketball nah some failure is worse than others you right,en
22,['1652066968940208130'],1652066968940208130,cooly_roc nike giannis_an34 nikebasketball they gotta work on his shoe team now,en
24,['1652066882017722368'],1652066882017722368,polyesterunis mariners nike disagree (respectfully). colours are too close to ikea and the pants are just awful.,en
25,['1652066847443808262'],1652066847443808262,nike giannis_an34 nikebasketball nah giannis really got a chokehold on the media cause this is crazy,en
27,['1652066806075359232'],1652066806075359232,"rt crypto_wolf_of: you are right coderoshi that time is now. ☝️😏👌  luksomainnet 🆙️
nike just do it 🚀 ",en
28,['1652066804234338304'],1652066804234338304,nike giannis_an34 nikebasketball amazing. turned it into a nike ad 👌🏽,en
29,['1652066786580353028'],1652066786580353028,rt mdotbrown: nike giannis_an34 nikebasketball ,en
30,['1652066769501028352'],1652066769501028352,"rt nikeberlin48: fun trip 😏

nike niketn tn gayboy youngboy sneaker socks cum twink proll sportswear nikefetish sneakerheads…",en
31,['1652066758541418497'],1652066758541418497,gianniburnerr nike giannis_an34 nikebasketball shortened season doesn’t count,en
33,['1652066750635327488'],1652066750635327488,"kdtrey5 nike ever wonder what the swoosh is all about? might wanna check the seat of satan's flag 

is the ink dry yet?

 ",en
35,['1652066671392071682'],1652066671392071682,nike giannis_an34 nikebasketball idk bro 1st seed in the east and 1 playoff win doesn’t sound  like steps to success,en
37,['1652066634004062208'],1652066634004062208,"hot wheels 2019 porsche 356a outlaw vw t1 car culture team transport rlc sth 356 | ebay
us $49.99

click for deal link!


thenorthface nike adidas hypebeast amazon ebay amazondeals dailydeals ebaydeals ",en
40,['1652066588399419393'],1652066588399419393,nike giannis_an34 nikebasketball moving product.  that press conference was a smashing success,en
41,['1652066587598307328'],1652066587598307328,nike giannis_an34 nikebasketball why did joel sign with under armour man,en
42,['1652066576596860928'],1652066576596860928,rt mdotbrown: nike giannis_an34 nikebasketball ,en
44,['1652066569210437633'],1652066569210437633,"rt sneaker_bro: it's friday, bitch! 😈🔥
sneakerfetish sneakerhead gaysneakers sneakers nike sneaker kiffeur gay gaysneakerfetish …",en
46,['1652066543973412866'],1652066543973412866,alexqtorres xyzxyzxyz09 nike giannis_an34 nikebasketball and played like shit in both games and they also won a game without him lol,en
47,['1652066519331766272'],1652066519331766272,fa_roose nike giannis_an34 nikebasketball did they drop that ad after mike blew back to back 15 point leads and lose to an 8th seed in the first round in five games? i can’t remember.,en
49,['1652066505071230977'],1652066505071230977,"nike sbdunk low chlorophyll bq6817-011

",en
2,['1652066479360073729'],1652066479360073729,"rt crypto_wolf_of: you are right coderoshi that time is now. ☝️😏👌  luksomainnet 🆙️
nike just do it 🚀 ",en
4,['1652066409382580224'],1652066409382580224,nike giannis_an34 nikebasketball stop it. he failed his team smh. they were the number 1 seed for fucks sake.,en
6,['1652066375085568000'],1652066375085568000,"nike giannis_an34 nikebasketball need to take a course on forex trading?
need a coach on forex trading?

check out this expert


levis forex propaganda",en
7,['1652066333146726400'],1652066333146726400,gianniburnerr mikethekid7 nike giannis_an34 nikebasketball what year are we in?,en
10,['1652066277408555008'],1652066277408555008,joey_bluntz gummyinvasions j23app ronchul nike jumpman23 🤯🤯,en
11,['1652066247268503552'],1652066247268503552,"what’s the longest you’ve gone without a w on snkrs? 

me: 6 months (currently)

snkrs nike nikestore nike",en
13,['1652066212950728704'],1652066212950728704,rt my_collectables: nike giannis_an34 nikebasketball michael jordan “i’ve failed over and over again in my career. that is why i succee…,en
16,['1652066180058759169'],1652066180058759169,nike giannis_an34 nikebasketball change the logo to just do your best,en
17,['1652066178183856131'],1652066178183856131,"kdtrey5 lifetime nike deal; manutd 3rd round bids; flutterplc fanduel approves us stock listing; brerafc extends globally; movingimage gets esports orders; activision fintechgamification the$portsindex crypto nft more...
",en
19,['1652066135943303168'],1652066135943303168,"zerohedge it should be illegal to groom underage boys into surgically removing their reproductive organs but apparently that's totally legal and sponsored by budlight and nike etc.
ignore the loss of innocence, theft of identity and destruction of the family along with free thought.",en
25,['1652065853150490625'],1652065853150490625,polyesterunis mariners nike the black pants ruin what would have been a gorgeous set.,en
26,['1652065823911976961'],1652065823911976961,nike giannis_an34 nikebasketball y'all really turned one of the worst upsets in nba history into a giannis ad 😭,en
27,['1652065815137533952'],1652065815137533952,jamorant ja1 bigmemphis 901 nikebasketball memphisgrizzlies nbaplayoffs explorepage nike jordan twitterkicks sneakerhead nicekicks solecollector kotd kicksonfire sneakers grizzlies memphis withus explore 12 ,en
28,['1652065799052378121'],1652065799052378121,"nike giannis_an34 nikebasketball if people called dirk a failure in 07, we have to keep the same energy for giannis. he failed, there’s nothing wrong with that. use that as fuel &amp; comeback stronger.",en
29,['1652065771814809601'],1652065771814809601,"kcharouhas nike giannis_an34 nikebasketball then remove that lakers avy, clown. you’re not even in la. 🤣 you’re probably a teenager with acne. foh.",en
31,['1652065700998184960'],1652065700998184960,damn this hurts house_drift there goes my chances thanks nike ,en
34,['1652065695377522691'],1652065695377522691,mikethekid7 nike giannis_an34 nikebasketball got outplayed by bryn forbes in 2021,en
37,['1652065619083415553'],1652065619083415553,lexxdaturtle nike nikestore thanks man....really appreciate that 🤝🏾 ,en
39,['1652065582508830720'],1652065582508830720,"michael jordan wheaties gold foil box - 100th anniversary limited /1500 rare | ebay
us $39.99

click for deal link!


thenorthface nike adidas hypebeast amazon ebay amazondeals dailydeals ebaydeals ",en
41,['1652065545309626369'],1652065545309626369,"rt leroy_sane: insané new mercurials!! 🥶🥶🥶 excited to be back soon! vibes nikefootball 
mercurial nike ls19 ",en
42,['1652065523331473409'],1652065523331473409,joey_bluntz gummyinvasions j23app nike jumpman23 extra fresh jordans 🔥🔥🔥,en
46,['1652065356306063360'],1652065356306063360,g0thb1tch footlocker i was able to grab a pair off nike this am ,en
47,['1652065330309771266'],1652065330309771266,kdtrey5 nike do you have any walking/casual shoes? i don't play basketball because i'm not very good but it would be cool to have some kd shoes that i can just use everyday while working.,en
48,['1652065307840638977'],1652065307840638977,cnation87 nike jumpman23 nicekicks kicksonfire solesavy jordan1squad houseofheat sneakerfiles snkrfrkrmag footlockereu damn!!!!!,en
49,['1652065261573242889'],1652065261573242889,caplejai nike nikestore de nada hermano. i'm glad to see you get that w! 🤝💯 ,en
0,['1652065258066812929'],1652065258066812929,rodrigoroadman rachael36669731 fun88eng cadburyuk nfl nike spursofficial skysportspl premierleague beyonce easports no chance joe or vivianne lewis let that happen.,en
1,['1652065236180951040'],1652065236180951040,joey_bluntz gummyinvasions j23app ronchul nike jumpman23 this is amazing!!!,en
2,['1652065228547317761'],1652065228547317761,sheriffeyisitan iamcarljones nike jumpman23 this guy,en
3,['1652065222788628481'],1652065222788628481,"samsung cell phone deal! samsung galaxy note 20 5g 128gb n981u smartphone mystic bronze (t-mobile locked) - renewed
now: $248.04
was: $287.88
click for deal link!


thenorthface nike ",en
4,['1652065218933956609'],1652065218933956609,"2022 newest hp 15.6 hd laptop computer. quad cores i3-1125g4 up to 3.7 ghz. intel uhd graphics. 8gb
now: $315.00
was: $350.00
click for deal link!


thenorthface nike adidas hypebeast ",en
6,['1652065200768425989'],1652065200768425989,"sneakerscouts the nike air trainer sc high 'kansas city royals' is now available via footlocker! |$150| ad nike 

&gt;&gt;&gt;  ",en
7,['1652065153595191297'],1652065153595191297,nike giannis_an34 nikebasketball flipped a first round exit to to an 8 seed into pr for his shoe im impressed,en
9,['1652065097253101571'],1652065097253101571,nike giannis_an34 nikebasketball nah this is crazy,en
14,['1652064984975945730'],1652064984975945730,kcharouhas nike giannis_an34 nikebasketball who’s this talking? laker fan? heat fan? 🤣🤣🤣🤣 shut your bitch ass up. ,en
17,['1652064967263404034'],1652064967263404034,"rt remy_jac: nike giannis_an34 nikebasketball mamba mentality 🐍💯

",en
21,['1652064917896265730'],1652064917896265730,"nike giannis_an34 nikebasketball look, his mentality is great, but the fact that everyone is skipping over this monumental choke job is crazy. he deserves a ton more bashing; 3/12 in the fourth and afraid to touch the ball??? i wouldn't be mad if people don't call him the best in the league anymore",en
22,['1652064910526885888'],1652064910526885888,"rt remy_jac: nike giannis_an34 nikebasketball mamba mentality 🐍💯

",en
25,['1652064717517537281'],1652064717517537281,"🚨 it is amazing to see how the vision of lukso  is becoming a reality😎 

nike knows what's 🆙👇

$lyxe $lyx ",en
29,['1652064652614852608'],1652064652614852608,where was this campaign for bron in 2011? nike all them facebook memes and y’all left him out there to die,en
30,['1652064626039726084'],1652064626039726084,"nike giannis_an34 nikebasketball maybe he could get away with this if he lost in the 2nd round or ecf but let’s add context here. 

they were the 1 seed and got blown out in a series against an 8 seed play-in team. 

(and this isn’t like “not getting a promotion”….its like getting a huge demotion)",en
32,['1652064621375750145'],1652064621375750145,"happy 3 months papacito❤️

nike my boy needs a sponsor ",en
33,['1652064547195473921'],1652064547195473921,"rt whitetamar1: the new ✔️x 🌼 kwondo 1 shoes by gdragon nike peaceminusone
 is in the list of 'best panda themed sneakers' by hypebeast…",en
34,['1652064527733739521'],1652064527733739521,"neighborhood japan dice magazine nhdm c-tee l t-shirt wtaps supreme nbhd cycles | ebay
us $49.99

click for deal link!


thenorthface nike adidas hypebeast amazon ebay amazondeals dailydeals ebaydeals ",en
35,['1652064520054132737'],1652064520054132737,"kdtrey5 nike do not be deceived.

nike is a leader in the sodomite agenda.

come out from the world and be separate. 

respect your creator. do not partake of the things of the world. respect the creator who can destroy the soul.",en
37,['1652064480635789316'],1652064480635789316,nike giannis_an34 nikebasketball pretty sure sports is one area where failure exists and is pretty clearly defined,en
39,['1652064459819560960'],1652064459819560960,"polyesterunis mariners nike like it, could have been much worse given nike’s recent history",en
40,['1652064451246342144'],1652064451246342144,"mattyh819 nikestore nike jumpman23 your welcome fam, and vice versa🫡🫡",en
41,['1652064434481934336'],1652064434481934336,kcharouhas nike giannis_an34 nikebasketball confused ass retweeting heat posts with a lakers avy… and living in washington. 🤣😭🤣😭 ,en
43,['1652064352265011205'],1652064352265011205,kevin durant joins lebron james and michael jordan as nba players that have signed lifetime contracts with nike,en
44,['1652064342861398016'],1652064342861398016,kixnkarbs nike going thru them thangs?? lol,en
46,['1652064274653511688'],1652064274653511688,rt k9_itsiant: first look shoutout idk for his 1 of 70 airmax 97!! shoe is super sick ty so much!! nike idk fnf airmax sneakers http…,en
48,['1652064185897959429'],1652064185897959429,nike giannis_an34 nikebasketball not nike trying to turn this into 💵,en
0,['1652064151190003714'],1652064151190003714,nike giannis_an34 nikebasketball giannis pr team is untouchable ,en
1,['1652064125948657667'],1652064125948657667,timbebawi kingjames lifewtr while he has slave labour making his sneakers kingjames  nike 🤡 🤡,en
3,['1652064068759371777'],1652064068759371777,"gigi bryant ""mambacita"" “basketball jersey”, from nike, drops may 1 at 10:00 am, edt on the snkrs app.

 ",en
4,['1652064065701773312'],1652064065701773312,kdtrey5 nike you still pull the weakest  move in nba history we won’t forget that one anyway carry-on😂,en
