,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes,lang
0,['1652045093048557622'],1652045093048557622,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
1,['1652044368897777666'],1652044368897777666,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
2,['1652044218632642567'],1652044218632642567,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
3,['1652044178442838016'],1652044178442838016,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
4,['1652044092287623187'],1652044092287623187,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
5,['1652043997714456576'],1652043997714456576,"rt en_sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤…",,,en
6,['1652043629970505728'],1652043629970505728,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
7,['1652043627881701388'],1652043627881701388,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
8,['1652043403167670312'],1652043403167670312,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
9,['1652043333798076437'],1652043333798076437,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
11,['1652043238537043973'],1652043238537043973,fasc1nate cocacola please bring back the 1899 bottle. i don’t even drink soda and i would buy it.,,,en
12,['1652043005736411136'],1652043005736411136,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
13,['1652042978700169216'],1652042978700169216,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
14,['1652042947880165407'],1652042947880165407,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
15,['1652042938430504960'],1652042938430504960,"rt en_sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤…",,,en
16,['1652042899578560541'],1652042899578560541,"open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕

fridayfeeling realmagic cocacola cocacolait ",,,en
17,['1652042807379369995'],1652042807379369995,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
18,['1652042752903749657'],1652042752903749657,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
20,['1652042570107592722'],1652042570107592722,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
21,['1652042504059887632'],1652042504059887632,ronnie2k cocacola loudronnieanne this coke can has your name on it.,,,en
22,['1652042496141041670'],1652042496141041670,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
