,edit_history_tweet_ids,id,text
34,['1623431700578545666'],1623431700578545666,"nike yoga dri-fit luxe camiseta de tirantes corta - mujer - negro por 44.99 en nike

tu nueva prenda favorita para el entrenamiento te ofrece sujeción y seguridad para entrenar y lo que te depare el día. esta camiseta es supercómoda y ligera, form...  "
35,['1623431612607385600'],1623431612607385600,nikestore nike nike nike nikedunklow gsnike nikegs nikeps parents kids shoes childrenshoes nomoreelasticlaces 
36,['1623431518797414402'],1623431518797414402, rieker pantolette men (21098) blue gbp45.33 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
37,['1623431513994829826'],1623431513994829826, nikka - coffey vodka 70cl bottle gbp41.58 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
38,['1623431498899619840'],1623431498899619840," oroblu rich diamond patterned tights colour: brown, size: m gbp21.95 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store "
39,['1623431291910627330'],1623431291910627330,"we have too much inventory, so...flash sale tomorrow and friday at tennis inc.  up to 60% off...oliver thomas, nike, adidas, lucky, sofibella, and more nike adidas lucky upto60 sofibella tomorrow "
40,['1623431255646691330'],1623431255646691330," women's tommy hilfiger emery watch silver, silver gbp150.00 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store "
41,['1623431251565678594'],1623431251565678594, bodegas gutierrez colosia - pedro ximenez 37.5cl bottle gbp18.35 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
42,['1623431243051200513'],1623431243051200513, tom tailor boxershorts blue-light-check (70179-0010) gbp24.85 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
43,['1623431239519862784'],1623431239519862784,barrysanders nike lions packers nfl barry is a super bowl person.
44,['1623431207185686539'],1623431207185686539,rt ladsinwhitesox: chav scally alpha bossman boss gaysneakers trainers boots nike adidas whitesocks socks gaysocks gay gaym…
45,['1623431150764011525'],1623431150764011525,"rt centaurusx2016: lets enjoy after some work 😜🔥 
see the videos on 
alpha alphaytop alphagay gaymaster gaydom…"
46,['1623430995226632192'],1623430995226632192, ralph lauren woman eau de parfum spray 30ml gbp48.20 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
47,['1623430994933043200'],1623430994933043200,"nike i respect you. always have. always will. 🤎

your campaigns are dope. "
48,['1623430993355972608'],1623430993355972608, louis bouillot - perle noire blanc de noirs brut nv 75cl bottle gbp17.46 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
49,['1623430988679286785'],1623430988679286785, emporio armani ea7 grey gilet - size l gbp81.00 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
50,['1623430967863148546'],1623430967863148546,nikestore i think i can speak for all parents. and our children. please stop making the kids shoes with the elastic laces! not only do the lace swaps stop the painfulness of wearing. but it looks much better. both my kids refuse to wear the elastic lace shoes. nike nikedunklow
51,['1623430751520686083'],1623430751520686083,rt ladsinwhitesox: chav scally alpha bossman boss gaysneakers trainers boots nike adidas whitesocks socks gaysocks gay gaym…
52,['1623430742549168134'],1623430742549168134, tasca - lamri 2017 6x 75cl bottles gbp108.24 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
53,['1623430737457303552'],1623430737457303552, drop shot kiara padel shoe women gbp98.9 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
54,['1623430736182214658'],1623430736182214658, blandys - verdelho 10 year old 50cl bottle gbp21.01 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
55,['1623430691324133376'],1623430691324133376,barrysanders nike lions packers nfl asharee12 and i loved being at the game live!!! 
56,['1623430657400623106'],1623430657400623106,barrysanders nike lions packers nfl what an amazing gift to win.
57,['1623430643811241984'],1623430643811241984,lemming0879 barrysanders nike lions packers nfl we like the sun never warm
58,['1623430579701047297'],1623430579701047297,efiorentino31 jerlisa_nicole nikestore nike jumpman23 patriots listen the mid game is beautiful. idk why some ppl hate it
59,['1623430529591959552'],1623430529591959552,barrysanders nike lions packers nfl i have never seen someone show the greatness of what shoes can do like barry… the things he did will always be remembered.
60,['1623430508846645251'],1623430508846645251,"nike dunk low retro white black panda men dd1391-100 gs cw1590-100
$175.99



nike dunklow retropanda menshoe nikedunklow pandadunklow  nikeshoes nikes sbdunk dunks"
61,['1623430504094498823'],1623430504094498823,"rt 5occer1980: taking a few pics while waiting for that little cocksucker who’s always turned on by a blowjob in public

ready? 🤤🍆💦 

…"
62,['1623430502165233664'],1623430502165233664, torres - vina esmeralda 2020 75cl bottle gbp10.24 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
63,['1623430496918069248'],1623430496918069248, clarks orabella ruby black suede gbp49.99 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
64,['1623430490630791170'],1623430490630791170," ""bliss""copper bracelet gbp59.00 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store "
65,['1623430489490046977'],1623430489490046977, peaky blinder - spiced dry gin 70cl bottle gbp23.34 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
66,['1623430483970252805'],1623430483970252805, loake - men's black clint leather brogue - us: 9.5/ uk: 9/ eu: 43 usd230.00 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
67,['1623430483756417031'],1623430483756417031, knockeen hills - gold strength 70% 70cl bottle gbp51.95 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
68,['1623430419235454976'],1623430419235454976,nike kingjames nike!!!! miami!!!!
69,['1623430304462430210'],1623430304462430210,"jordan 9 calvinbailey size 10.5 ds lakers lsu deep royal nike sb dunk

"
70,['1623430278533324801'],1623430278533324801, create your own family mini birthstone personalised slider bracelet gbp24.00 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
71,['1623430275752423424'],1623430275752423424, bombo - full on coconut 70cl bottle gbp28.86 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
72,['1623430274200621057'],1623430274200621057," men's hugo leap watch silver/gold, silver/gold gbp200.00 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store "
73,['1623430271432269824'],1623430271432269824, emporio armani black quilted nylon down gilet - size xs gbp200.00 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
74,['1623430265321422848'],1623430265321422848,"【m-sports入荷情報】
jordan why not.6pf
◾️ﾅｲｷｼﾞｬﾊﾟﾝ正規ｱｶｳﾝﾄ商品
◾️2月16日(木曜日)発売開始
◾️bright crimson/black-volt-white
◾️品番：do7190-607
◾️メーカー希望小売価格：16,500円
nike jordan basketball whynot6 mstokyo
通信販売はココから↓
 "
75,['1623430261353418753'],1623430261353418753, pieces ria fold up solid t-shirt white (17086970briwht) gbp7.49 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
76,['1623430252973154304'],1623430252973154304,"rt lakeitheanicole: media alert: the air max day party nashville!!! march 26, 2023 fabglance is bringing the city out to celebrate nike's…"
77,['1623430247617114114'],1623430247617114114, hendricks - lunar 70cl bottle gbp36.68 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
78,['1623430194504830976'],1623430194504830976,"rt lakeitheanicole: media alert: the air max day party nashville!!! march 26, 2023 fabglance is bringing the city out to celebrate nike's…"
79,['1623430143329828866'],1623430143329828866,"📍alerte notre bot à trouvé: air force one sur vinted.

prix : 8.0 €
plus d'alertes via le bot ici :   
sneakers nike raffle dunk "
80,['1623430117140692992'],1623430117140692992,"📍alerte notre bot à trouvé: air force one  sur vinted.

prix : 25.0 €
plus d'alertes via le bot ici :   
sneakers nike raffle dunk "
81,['1623430106588012544'],1623430106588012544,rjolli007 jumpman23 nike nikestore jerlisa_nicole coming from someone so sharp… 
82,['1623430090083237889'],1623430090083237889,"📍alerte notre bot à trouvé: nike air force 1 sur vinted.

prix : 20.0 €
plus d'alertes via le bot ici :   
sneakers nike raffle dunk "
83,['1623430064334336000'],1623430064334336000,"📍alerte notre bot à trouvé:  nike air force one  sur vinted.

prix : 95.0 €
plus d'alertes via le bot ici :   
sneakers nike raffle dunk "
84,['1623430011930673153'],1623430011930673153, hugo boss boss the scent le parfum for her eau de parfum spray 30ml gbp50.25 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
85,['1623430003328155648'],1623430003328155648, shearer candles tealight candles lemon zest gbp10.00 shoes boots sneakers nike adidas dress jewelry perfume online_shopping uk_shopping shopping watch wine online_store atoz_online_store 
